count_titles,dept_name,title
10225,Sales,Senior Staff
1,Sales,Manager
26,Research,Technique Leader
1,Research,Manager
3449,Research,Senior Staff
322,Research,Senior Engineer
446,Quality Management,Technique Leader
3101,Quality Management,Senior Engineer
1898,Production,Technique Leader
200,Production,Senior Staff
11848,Production,Senior Engineer
3581,Marketing,Senior Staff
3516,Human Resources,Senior Staff
3352,Finance,Senior Staff
13881,Development,Senior Engineer
2110,Development,Technique Leader
178,Development,Senior Staff
3753,Customer Service,Senior Staff
263,Customer Service,Senior Engineer
22,Customer Service,Technique Leader
